"cluster" "dyntaxa_name" "gbif_name"
"6858" "Eriocraniidae_cluster3" "Eriocrania semipurpurella" "Eriocrania semipurpurella"
"7084" "Psychidae_cluster8" "Dahlica triquetrella" "Dahlica triquetrella"
"7182" "Incurvariidae_cluster7" "Incurvaria praelatella" "Lampronia praelatella"
"7229" "Noctuidae_cluster96" "Hoplodrina ambigua" "Hoplodrina ambigua"
"7278" "Lypusidae_cluster6" "Agnoea elsae" "Agnoea elsae"
"7280" "Noctuidae_cluster97" "Diarsia mendica" "Diarsia mendica"
"7667" "Coleophoridae_cluster30" "Coleophora otidipennella" "Coleophora troglodytella"
"7710" "Tortricidae_cluster166" "Celypha siderana" "Phiaris siderana"
"7806" "Geometridae_cluster122" "Mesotype didymata" "Perizoma didymata"
"8009" "Incurvariidae_cluster9" "Lampronia capitella" "Incurvaria capittella"
"8020" "Pterophoridae_cluster12" "Crombrugghia distans" "Crombrugghia distans"
"8041" "Psychidae_cluster9" "Bacotia claustrella" "Bacotia claustrella"
"8061" "Psychidae_cluster10" "Dahlica listerella" "Dahlica listerella"
"8221" "Geometridae_cluster123" "Martania taeniata" "Perizoma taeniata"
"8270" "Coleophoridae_cluster34" "Coleophora discordella" "Coleophora discordella"
"8516" "Tortricidae_cluster175" "Epiblema scutulana" "Epiblema scutulana"
"8600" "Noctuidae_cluster111" "Plusia festucae" "Plusia festucae"
"8624" "Psychidae_cluster12" "Proutia norvegica" "Proutia norvegica"
"8884" "Geometridae_cluster125" "Xanthorhoe decoloraria" "Xanthorhoe decoloraria"
"9001" "Tortricidae_cluster181" "Argyroploce concretana" "Selenodes concretana"
"9114" "Gelechiidae_cluster77" "Klimeschiopsis kiningerella" "Klimeschiopsis kiningerella"
"9119" "Geometridae_cluster127" "Earophila badiata" "Anticlea badiata"
"9505" "Incurvariidae_cluster10" "Lampronia rupella" "Incurvaria rupella"
"9832" "Tischeriidae_cluster3" "Coptotriche heinemanni" "Coptotriche heinemanni"
"10055" "Sphingidae_cluster5" "Hyles gallii" "Hyles gallii"
