"cluster" "Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species" "BOLD_bin" "rep_asv" "blast_taxon" "blast_idty" "blast_e_value" "mitochondrial" "n_samples" "n_reads" "iba_match" "n_samples_match" "n_reads_match" "n_samples_overlap" "prop_overlap"
"6669" "Adelidae_cluster11" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Adelidae" "unclassified.Adelidae" "unclassified.Adelidae" "unclassified.Adelidae" "c1cb73ae31cc9b47a1cd1165cfeaabe5" "Cauchas fibulella" 96.41 0 TRUE 6 10996 TRUE 14 18467 2 0.333333333333333
"7147" "Noctuidae_cluster95" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Noctuidae" "Apamea" "unclassified.Apamea" "unclassified.Apamea" "341be718322118903a7122ea1c6c503d" "Apamea rubrirena" 99.76 0 TRUE 1 9313 FALSE 0 0 0 0
"7581" "Nepticulidae_cluster13" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Nepticulidae" "Stigmella" "unclassified.Stigmella" "unclassified.Stigmella" "35b27bdf584286b8dc01ca454de181f2" "Stigmella lappovimella" 100 0 TRUE 71 8869 FALSE 0 0 0 0
"7636" "Crambidae_cluster33" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Crambidae" "Catoptria" "unresolved.Catoptria" "unresolved.Catoptria" "2418309eb05b1685f23488f22d2890ce" "Catoptria permutatellus" 100 0 TRUE 2 12880 FALSE 0 0 0 0
"7771" "Coleophoridae_cluster31" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Coleophoridae" "Coleophora" "unresolved.Coleophora" "unresolved.Coleophora" "2af0158cf1482b220c9a38bb0820021e" "Coleophora alnifoliae" 100 0 TRUE 19 13957 FALSE 0 0 0 0
"8944" "Tortricidae_cluster179" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Eucosma" "unresolved.Eucosma" "unresolved.Eucosma" "b3578d44cacf1f3dd85a3f8851801b04" "Eucosma aspidiscana" 97.85 0 TRUE 7 14949 FALSE 0 0 0 0
"8979" "Coleophoridae_cluster38" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Coleophoridae" "Coleophora" "unresolved.Coleophora" "unresolved.Coleophora" "069f486f13b7065c1aaa73f2b3d1ecfe" "Coleophora serratella" 99.76 0 TRUE 100 9373 TRUE 1 3 0 0
"9979" "Nepticulidae_cluster20" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Nepticulidae" "Stigmella" "unclassified.Stigmella" "unclassified.Stigmella" "0b7f47b795324b582c86aef2c425d8c5" "Stigmella luteella" 99.28 0 TRUE 94 9577 FALSE 0 0 0 0
"10281" "Noctuidae_cluster127" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Noctuidae" "Euxoa" "unresolved.Euxoa" "unresolved.Euxoa" "4d655537a2be3249d506dd6d271c7631" "Euxoa nigricans" 100 0 TRUE 5 5517 FALSE 0 0 0 0
"10533" "Gracillariidae_cluster47" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Gracillariidae" "Phyllonorycter" "unresolved.Phyllonorycter" "unresolved.Phyllonorycter" "6ff04c5009f4c93ee25e8c11a4d40c83" "Phyllonorycter oxyacanthae" 100 0 TRUE 16 4650 FALSE 0 0 0 0
"11160" "Nepticulidae_cluster25" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Nepticulidae" "Stigmella" "unclassified.Stigmella" "unclassified.Stigmella" "1d057cffa9b354316d990ee3c0c97656" "Stigmella glutinosae" 99.28 0 TRUE 14 3285 FALSE 0 0 0 0
"11583" "Coleophoridae_cluster45" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Coleophoridae" "Coleophora" "unresolved.Coleophora" "unresolved.Coleophora" "092b0ba25b2d88c3f8a9c18b1e03306a" "Coleophora betulella" 99.76 0 TRUE 13 6086 TRUE 1 403 0 0
"12321" "Nepticulidae_cluster29" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Nepticulidae" "Stigmella" "unclassified.Stigmella" "unclassified.Stigmella" "082e6f88998625c6cc7dc1fd409f4c4c" "Stigmella salicis" 99.76 0 TRUE 67 5617 FALSE 0 0 0 0
"12548" "Bucculatricidae_cluster9" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Bucculatricidae" "Bucculatrix" "unclassified.Bucculatrix" "unclassified.Bucculatrix" "aa612f9d64cd91e310ae1f903ed7514d" "Bucculatrix notella" 94.5 2e-180 TRUE 2 1870 FALSE 0 0 0 0
"12692" "Coleophoridae_cluster47" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Coleophoridae" "Coleophora" "unclassified.Coleophora" "unclassified.Coleophora" "b1f79adfeb3b1cb04301d4a4e7612cd7" "Coleophora otidipennella" 96.89 0 TRUE 3 1806 FALSE 0 0 0 0
"12786" "Praydidae_cluster1" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Praydidae" "Prays" "unresolved.Prays" "unresolved.Prays" "bb2d5d919e413460d13631e350b8c67a" "Prays ruficeps" 100 0 TRUE 2 2966 FALSE 0 0 0 0
"13231" "Tortricidae_cluster210" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Eucosma" "unclassified.Eucosma" "unclassified.Eucosma" "6e2f39ec3900e906b808874db7658d06" "Eucosma aspidiscana" 96.41 0 TRUE 1 1570 FALSE 0 0 0 0
"13677" "Tortricidae_cluster214" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Philedonides" "unclassified.Philedonides" "unclassified.Philedonides" "0148246ad0b19b1c9050763fdaf41a14" "Philedonides lunana" 96.64 0 TRUE 3 1410 TRUE 9 121891 1 0.333333333333333
"13829" "Geometridae_cluster164" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Geometridae" "Elophos" "unclassified.Elophos" "unclassified.Elophos" "ed21282dcf4ec4ad173e323506830c19" "Yezognophos vittaria" 96.89 0 TRUE 39 1650 FALSE 0 0 0 0
"13847" "Tortricidae_cluster218" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "unclassified.Tortricidae" "unclassified.Tortricidae" "unclassified.Tortricidae" "6df2a2d2e9268022d8d70153109f6422" "Epinotia crenana" 92.58 4e-167 TRUE 2 1569 TRUE 245 7461108 0 0
"13979" "Tortricidae_cluster219" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "unclassified.Tortricidae" "unclassified.Tortricidae" "unclassified.Tortricidae" "b2b6abffaa407826d10763d8bfd506dc" "Orthotaenia undulana" 95.22 0 TRUE 62 1375 TRUE 186 1624357 62 1
"16176" "Tortricidae_cluster234" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Archips" "unclassified.Archips" "unclassified.Archips" "e153cd1d387759476498e1647bbe3196" "Archips betulanus" 96.65 0 TRUE 2 754 FALSE 0 0 0 0
"16314" "Elachistidae_cluster59" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Elachistidae" "Elachista" "unresolved.Elachista" "unresolved.Elachista" "8984db39f92d7df527f732b474bc392d" "Elachista zernyi" 100 0 TRUE 3 948 FALSE 0 0 0 0
"17648" "Tortricidae_cluster243" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Epinotia" "unclassified.Epinotia" "unclassified.Epinotia" "ff1d5938027b9b616b41d637e4f1d3ef" "Epinotia signatana" 100 0 TRUE 2 485 TRUE 4 13219 0 0
"18874" "Noctuidae_cluster168" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Noctuidae" "unclassified.Noctuidae" "unclassified.Noctuidae" "unclassified.Noctuidae" "5428072fc6bfd6bfb8a20decc5893b47" "Mythimna impura" 94.98 0 FALSE 24 580 TRUE 138 2410061 24 1
"19742" "Tortricidae_cluster248" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "unclassified.Tortricidae" "unclassified.Tortricidae" "unclassified.Tortricidae" "8898ffc78cd2d03bb158480a995c063c" "Notocelia roborana" 95.69 0 TRUE 10 295 FALSE 0 0 0 0
"19849" "Noctuidae_cluster169" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Noctuidae" "unclassified.Noctuidae" "unclassified.Noctuidae" "unclassified.Noctuidae" "fd614b8d79c833c8a8f5a71ecfb51f32" "Mesoligia furuncula" 95.45 0 TRUE 2 268 TRUE 32 204257 2 1
"20000" "Tortricidae_cluster249" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "unclassified.Tortricidae" "unclassified.Tortricidae" "unclassified.Tortricidae" "65c8efae53eed3c619691e1a537d515f" "Lathronympha strigana" 96.89 0 TRUE 22 618 TRUE 75 431933 22 1
"20345" "Nymphalidae_cluster25" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Nymphalidae" "unclassified.Nymphalidae" "unclassified.Nymphalidae" "unclassified.Nymphalidae" "5941a81977e946c788acef18d9b20584" "Nymphalis ladakensis" 94.02 4e-177 FALSE 6 545 FALSE 0 0 0 0
"21121" "Nymphalidae_cluster27" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Nymphalidae" "unclassified.Nymphalidae" "unclassified.Nymphalidae" "unclassified.Nymphalidae" "d1c91508315ca849c706b0c24ee7b032" "Nymphalis ladakensis" 91.87 2e-160 FALSE 3 189 FALSE 0 0 0 0
"21459" "Noctuidae_cluster171" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Noctuidae" "unclassified.Noctuidae" "unclassified.Noctuidae" "unclassified.Noctuidae" "20bf06e9d325c415203ea3c7b4c9ee80" "Charanyca ferruginea" 99.28 0 FALSE 5 171 FALSE 0 0 0 0
"22186" "Ypsolophidae_cluster13" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Ypsolophidae" "Ypsolopha" "unclassified.Ypsolopha" "unclassified.Ypsolopha" "339e0e7de32e770d4c35407cd33fc237" "Ypsolopha lucella" 96.17 0 TRUE 8 389 TRUE 20 16535 8 1
"22363" "Nymphalidae_cluster28" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Nymphalidae" "unresolved.Nymphalidae" "unresolved.Nymphalidae" "unresolved.Nymphalidae" "964d443f5b4b5477c77ecdf571c2589a" "Nymphalis ladakensis" 94.98 0 FALSE 3 192 FALSE 0 0 0 0
"22791" "Nepticulidae_cluster58" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Nepticulidae" "Zimmermannia" "unclassified.Zimmermannia" "unclassified.Zimmermannia" "54ec69900400c50e0dbe37b3a9af0d47" "Zimmermannia liebwerdella" 94.7 2e-180 TRUE 2 120 FALSE 0 0 0 0
"23233" "Tortricidae_cluster262" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Capua" "unclassified.Capua" "unclassified.Capua" "f2fddb9b9284d56252e818dae3ab1b64" "Capua vulgana" 96.17 0 TRUE 4 108 TRUE 15 733 0 0
"23824" "Nymphalidae_cluster29" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Nymphalidae" "Aglais" "unclassified.Aglais" "unclassified.Aglais" "fc500844bc095948588ab00caf240c2d" "Nymphalis urticae" 97.85 0 FALSE 3 98 FALSE 0 0 0 0
"23851" "Geometridae_cluster187" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Geometridae" "Selenia" "unclassified.Selenia" "unclassified.Selenia" "b2f7d135bc48c4669fd3a69e66e5f572" "Selenia dentaria" 95.69 0 FALSE 4 108 TRUE 49 281106 4 1
"23970" "Nepticulidae_cluster64" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Nepticulidae" "Stigmella" "unclassified.Stigmella" "unclassified.Stigmella" "6fb5216e3bd48535bb0cbb8f6ffda05f" "Stigmella anomalella" 100 0 TRUE 1 86 FALSE 0 0 0 0
"24167" "Lycaenidae_cluster11" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Lycaenidae" "Aricia" "unclassified.Aricia" "unclassified.Aricia" "8264ec91a122a82e072fa9b2a215dbcc" "Aricia artaxerxes" 100 0 TRUE 1 81 FALSE 0 0 0 0
"24372" "Geometridae_cluster189" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Geometridae" "Geometra" "unclassified.Geometra" "unclassified.Geometra" "6c2ca9d0386fdbeaa3700fe690b4787c" "Geometra papilionaria herbacearia" 98.33 0 TRUE 1 77 FALSE 0 0 0 0
"24389" "Crambidae_cluster54" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Crambidae" "Udea" "unclassified.Udea" "unclassified.Udea" "0bd61e23174edb6e3396625f3a87a620" "Udea decrepitalis" 96.89 0 TRUE 3 76 TRUE 1 4600 1 0.333333333333333
"24530" "Noctuidae_cluster174" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Noctuidae" "unresolved.Noctuidae" "unresolved.Noctuidae" "unresolved.Noctuidae" "881541954d4382bf7be6e989636762a6" "Mythimna impura" 96.65 0 FALSE 9 122 TRUE 138 2410061 9 1
"25019" "Erebidae_cluster48" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Erebidae" "unclassified.Erebidae" "unclassified.Erebidae" "unclassified.Erebidae" "19b0eb304129f70c3ae1fb9d37654aa5" "Thumatha senex" 96.41 0 FALSE 2 96 TRUE 36 276032 2 1
"25074" "Gelechiidae_cluster122" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Gelechiidae" "Bryotropha" "unclassified.Bryotropha" "unclassified.Bryotropha" "1e240723b92bf612969e359fe7580bfe" "Bryotropha terrella" 95.45 0 TRUE 6 63 TRUE 395 1319030 6 1
"25349" "Coleophoridae_cluster62" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Coleophoridae" "Coleophora" "unclassified.Coleophora" "unclassified.Coleophora" "3699634e163357b33853d68dea062fb4" "Coleophora badiipennella" 93.3 2e-170 TRUE 2 59 FALSE 0 0 0 0
"26055" "Tortricidae_cluster271" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Dichrorampha" "unclassified.Dichrorampha" "unclassified.Dichrorampha" "990b9eeef029ac96257b887fbf76e4f4" "Dichrorampha tarmanni" 95.45 0 TRUE 1 48 FALSE 0 0 0 0
"27696" "Cosmopterigidae_cluster8" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Cosmopterigidae" "Sorhagenia" "unclassified.Sorhagenia" "unclassified.Sorhagenia" "1be2f678cdbf4448332421f8bbd937de" "Sorhagenia rhamniella" 96.65 0 TRUE 2 30 TRUE 14 10838 2 1
"28867" "Pterophoridae_cluster23" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Pterophoridae" "Amblyptilia" "unclassified.Amblyptilia" "unclassified.Amblyptilia" "6486992371c07fa6aee032d6cce95eed" "Amblyptilia punctidactyla" 96.65 0 TRUE 1 21 TRUE 4 9553 1 1
"29182" "Noctuidae_cluster181" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Noctuidae" "unresolved.Noctuidae" "unresolved.Noctuidae" "unresolved.Noctuidae" "984a8f05107ea8e75aacac15be7917bf" "Mythimna conigera" 94.72 0 TRUE 2 31 TRUE 34 104695 2 1
"29582" "Crambidae_cluster56" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Crambidae" "Elophila" "unclassified.Elophila" "unclassified.Elophila" "3955b0e27321c18261e330866fd55047" "Elophila nymphaeata" 96.65 0 TRUE 1 17 TRUE 2 381 1 1
"30012" "Tortricidae_cluster284" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Epinotia" "unresolved.Epinotia" "unresolved.Epinotia" "8a6796b3ebce20123726e8d4afd3b59e" "Epinotia trigonella" 96.41 0 TRUE 2 24 TRUE 64 1633566 2 1
"30400" "Geometridae_cluster200" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Geometridae" "Cyclophora" "unclassified.Cyclophora" "unclassified.Cyclophora" "ebb4328b7477830240384349d989aa1c" "Cyclophora porata" 97.85 0 TRUE 1 13 FALSE 0 0 0 0
"30475" "Noctuidae_cluster186" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Noctuidae" "unclassified.Noctuidae" "unclassified.Noctuidae" "unclassified.Noctuidae" "2825edd244701526544b3b72e563f099" "Mythimna straminea" 93.78 7e-175 TRUE 1 13 TRUE 7 6524 1 1
"30839" "Noctuidae_cluster188" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Noctuidae" "unclassified.Noctuidae" "unclassified.Noctuidae" "unclassified.Noctuidae" "d336d8060e8db7c725e93f14bb3a884f" "Xestia sexstrigata" 99.52 0 FALSE 1 11 TRUE 3 8786 1 1
"31114" "Plutellidae_cluster9" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Plutellidae" "Ypsolophus" "Ypsolophus_X" "unclassified.Ypsolophus_X" "719dbcd562bdb1be6cc1e59164911dc6" "Ypsolopha sylvella" 94.98 2e-180 TRUE 1 10 FALSE 0 0 0 0
"31210" "Tortricidae_cluster290" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Tortricidae" "Dichrorampha" "unclassified.Dichrorampha" "unclassified.Dichrorampha" "874d6d989a6e7091c170d9363b583df8" "Dichrorampha petiverella" 95.69 0 TRUE 1 10 TRUE 46 65084 1 1
"31613" "Geometridae_cluster202" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Geometridae" "Abraxas" "unclassified.Abraxas" "unclassified.Abraxas" "22bdf069281f1047049205a3a8713ed2" "Abraxas grossulariatus" 96.84 0 TRUE 1 9 FALSE 0 0 0 0
"31790" "Nepticulidae_cluster75" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Nepticulidae" "unclassified.Nepticulidae" "unclassified.Nepticulidae" "unclassified.Nepticulidae" "f360563669890e0d7df6b1913ce79475" "Stigmella prunetorum" 98.56 0 TRUE 1 8 FALSE 0 0 0 0
"31918" "Elachistidae_cluster74" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Elachistidae" "Depressaria" "unclassified.Depressaria" "unclassified.Depressaria" "294d9a37fb2263f641a6970ea2ac3ff1" "Depressaria incognitella" 97.37 0 TRUE 1 8 FALSE 0 0 0 0
"32063" "Gracillariidae_cluster84" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Gracillariidae" "Phyllonorycter" "unresolved.Phyllonorycter" "unresolved.Phyllonorycter" "06a66375305ff24d58f560babfa6f2b3" "Phyllonorycter quercifoliella" 98.33 0 TRUE 2 13 TRUE 113 108485 2 1
"33061" "Noctuidae_cluster190" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Noctuidae" "unclassified.Noctuidae" "unclassified.Noctuidae" "unclassified.Noctuidae" "d63e402645fcd27fef800f46f4a86859" "Chortodes pygminus" 96.65 0 TRUE 1 5 FALSE 0 0 0 0
"33233" "Gelechiidae_cluster131" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Gelechiidae" "Athrips" "unclassified.Athrips" "unclassified.Athrips" "36bfeab9b7ac24221990a39588ae2ac0" "Athrips pruinosella" 94.5 2e-180 TRUE 1 4 TRUE 25 99455 1 1
"33388" "Gracillariidae_cluster89" "Animalia" "Arthropoda" "Insecta" "Lepidoptera" "Gracillariidae" "Acrocercops" "unclassified.Acrocercops" "unclassified.Acrocercops" "3f4111505d482f123332998ee5f567ff" "Acrocercops brongniardella" 91.83 2e-160 TRUE 2 4 TRUE 107 359137 2 1
