"IBA_species" "match_status" "taxon_id" "sci_name" "author" "synonyms" "SE_occurrence" "IBA_cluster" "IBA_resolved_species" "IBA_resolved_BOLD_bin" "updated_BIN_annotation" "updated_BIN_annotation_n_records" "updated_BIN_annotation_prop"
"773" "Vanessa cardui" "Exact" 201061 "Vanessa cardui" "(Linnaeus, 1758)" "Papilio cardui Linnaeus, 1758; Vanessa cardui (Linnaeus, 1758); Cynthia cardui (Linnaeus, 1758)" "Ej bofast men tillfälligt reproducerande" "Nymphalidae_cluster7" "Vanessa cardui" "BOLAAA5337" "Vanessa cardui" 377 0.969151670951157
"859" "Agonopterix rubidella" "NoMatch" NA "" "" "" "" "Elachistidae_cluster33" "Agonopterix rubidella" "BOLAEE8966" "" 0 0
"899" "Acrolepia pygmaeana" "NoMatch" NA "" "" "" "" "Glyphipterigidae_cluster2" "Acrolepia pygmaeana" "BOLAAF6915" "Acrolepia autumnitella" 14 0.933333333333333
"963" "Adela viridella" "NoMatch" NA "" "" "" "" "Adelidae_cluster1" "Adela viridella" "BOLAAJ5727" "Adela reaumurella" 15 0.714285714285714
"970" "Nemophora scopolii" "NoMatch" NA "" "" "" "" "Adelidae_cluster7" "Nemophora degeerella" "BOLAAC1892" "Unspecified*" 17 0.515151515151515
"976" "Nemophora bellella" "NoMatch" NA "" "" "" "" "Adelidae_cluster14" "Nemophora bellella" "BOLACE9215" "Nemophora bellela" 12 0.545454545454545
"998" "Yponomeuta vigintipunctata" "NoMatch" NA "" "" "" "" "Yponomeutidae_cluster17" "Yponomeuta vigintipunctata" "BOLAAE4875" "Yponomeuta sedella" 18 0.72
"1000" "Euhyponomeutoides rufella" "NoMatch" NA "" "" "" "" "Yponomeutidae_cluster19" "Euhyponomeutoides rufella" "BOLAAF7153" "Euhyponomeutoides albithoracellus" 36 0.972972972972973
"1037" "Phyllonorycter lautella" "NeedsManualSelection" NA "Välj ett av 2 matchande taxa; Art: Phyllonorycter lautellus (Zeller, 1846), ekplantsguldmal [250449]; Art: Phyllonorycter lautella (Zeller, 1846), ekplantguldmal [214104]" "" "" "" "Gracillariidae_cluster38" "Phyllonorycter lautella" "BOLAAC7024" "Phyllonorycter lautella" 24 0.96
"1056" "Phyllocnistis populiella" "NoMatch" NA "" "" "" "" "Gracillariidae_cluster58" "Phyllocnistis populiella" "BOLACX5473" "Phyllocnistis populiella" 2036 0.666448445171849
