CLUSTER_ID;STATUS;Provided string;Matching status;Taxon id;Scientific name;Author;Scientific synonyms;Swedish occurrence
Noctuidae_cluster170;assigned;Amphipoea oculea;Exact;216120;Amphipoea oculea;(Linnaeus, 1761);fläckat stamfly;Bofast och reproducerande
Noctuidae_cluster37;assigned;Amphipyra berbera;Exact;215989;Amphipyra berbera;Rungs, 1949;"afrikabuskfly; Amphipyra svenssoni Fletcher, 1968";Bofast och reproducerande
Noctuidae_cluster64;assigned;Amphipyra pyramidea;Exact;215988;Amphipyra pyramidea;(Linnaeus, 1758);"större buskfly; Phalaena pyramidea Linnaeus, 1758; stort buskfly; fläckat stamfly";Bofast och reproducerande
Noctuidae_cluster46;assigned;Amphipyra tragopoginis;Exact;215992;Amphipyra tragopoginis;(Clerck, 1759);;Bofast och reproducerande
Lypusidae_cluster2;assigned;Amphisbatis incongruella;Exact;214583;Amphisbatis incongruella;(Stainton, 1849);;Bofast och reproducerande
Gelechiidae_cluster3;assigned;Anacampsis blattariella;Exact;214768;Anacampsis blattariella;(Hübner, 1796);;Bofast och reproducerande
Gelechiidae_cluster8;assigned;Anacampsis populella;Exact;214767;Anacampsis populella;(Clerck, 1759);;Bofast och reproducerande
Gelechiidae_cluster45;assigned;Anacampsis temerella;Exact;214770;Anacampsis temerella;(Lienig & Zeller, 1846);;Bofast och reproducerande
Crambidae_cluster41;assigned;Anania coronata;Exact;215488;Anania coronata;(Hufnagel, 1767);Phlyctaenia coronata (Hufnagel, 1767);Bofast och reproducerande
Crambidae_cluster32;assigned;Anania funebris;Exact;215497;Anania funebris;(Ström, 1768);;Bofast och reproducerande
Crambidae_cluster15;assigned;Anania fuscalis;Exact;215469;Anania fuscalis;(Denis & Schiffermüller, 1775);Opsibotys fuscalis (Denis & Schiffermüller, 1775);Bofast och reproducerande
Crambidae_cluster18;assigned;Anania hortulata;Exact;215498;Anania hortulata;(Linnaeus, 1758);Eurrhypara hortulata (Linnaeus, 1758);Bofast och reproducerande
Noctuidae_cluster71;assigned;Anarta melanopa;Exact;216150;Anarta melanopa;(Thunberg, 1791);Hadula melanopa (Thunberg, 1791);Bofast och reproducerande
Noctuidae_cluster137;assigned;Anarta myrtilli;Exact;216151;Anarta myrtilli;(Linnaeus, 1761);;Bofast och reproducerande
Noctuidae_cluster147;assigned;Anarta trifolii;Exact;216149;Anarta trifolii;(Hufnagel, 1766);"Hadula trifolii (Hufnagel, 1766); Discestra trifolii (Hufnagel, 1766); Scotogramma trifolii (Hufnagel, 1766); Phalaena trifolii Hufnagel, 1766";Bofast och reproducerande
Tortricidae_cluster62;assigned;Ancylis achatana;Exact;215163;Ancylis achatana;(Denis & Schiffermüller, 1775);;Bofast och reproducerande
Tortricidae_cluster203;assigned;Ancylis apicella;Exact;215160;Ancylis apicella;(Denis & Schiffermüller, 1775);;Bofast och reproducerande
Tortricidae_cluster78;assigned;Ancylis badiana;Exact;215162;Ancylis badiana;(Denis & Schiffermüller, 1775);allmän sikelvecklare;Bofast och reproducerande
Tortricidae_cluster114;assigned;Ancylis comptana;Exact;215152;Ancylis comptana;(Frölich, 1828);;Bofast och reproducerande
Tortricidae_cluster100;assigned;Ancylis diminutana;Exact;215156;Ancylis diminutana;(Haworth, 1811);;Bofast och reproducerande
Tortricidae_cluster236;assigned;Ancylis geminana;Exact;215154;Ancylis geminana;(Donovan, 1806);grårandsikelvecklare;Bofast och reproducerande
Tortricidae_cluster116;assigned;Ancylis laetana;Exact;215150;Ancylis laetana;(Fabricius, 1775);;Bofast och reproducerande
Tortricidae_cluster279;assigned;Ancylis mitterbacheriana;Exact;215164;Ancylis mitterbacheriana;(Denis & Schiffermüller, 1775);;Bofast och reproducerande
Tortricidae_cluster48;assigned;Ancylis mitterbacheriana;Exact;215164;Ancylis mitterbacheriana;(Denis & Schiffermüller, 1775);;Bofast och reproducerande
Tortricidae_cluster2;assigned;Ancylis myrtillana;Exact;215159;Ancylis myrtillana;(Treitschke, 1830);blåbärsikelvecklare;Bofast och reproducerande
Tortricidae_cluster102;assigned;Ancylis obtusana;Exact;100279;Ancylis obtusana;(Haworth, 1811);;Bofast och reproducerande
Tortricidae_cluster124;;;Manual;;Ancylis subarcuana;(Douglas, 1847);halvvågssikelvecklare;Bofast och reproducerande
Tortricidae_cluster221;assigned;Ancylis tineana;Exact;215165;Ancylis tineana;(Hübner, 1799);;Bofast och reproducerande
Tortricidae_cluster59;;;Manual;;Ancylis uncella;(Denis & Schiffermüller, 1775);gråfläckssikelvecklare;Bofast och reproducerande
Tortricidae_cluster118;assigned;Ancylis unculana;Exact;215158;Ancylis unculana;(Haworth, 1811);;Bofast och reproducerande
Tortricidae_cluster27;assigned;Ancylis unguicella;Exact;215148;Ancylis unguicella;(Linnaeus, 1758);;Bofast och reproducerande
Geometridae_cluster153;assigned;Angerona prunaria;Exact;215582;Angerona prunaria;(Linnaeus, 1758);;Bofast och reproducerande
Pieridae_cluster3;assigned;Anthocharis cardamines;Exact;201044;Anthocharis cardamines;(Linnaeus, 1758);Papilio cardamines Linnaeus, 1758;Bofast och reproducerande
Choreutidae_cluster1;assigned;Anthophila fabriciana;Exact;215243;Anthophila fabriciana;(Linnaeus, 1767);;Bofast och reproducerande
Geometridae_cluster85;assigned;Anticollix sparsata;Exact;215847;Anticollix sparsata;(Treitschke, 1828);videörtmätare;Bofast och reproducerande
Heliozelidae_cluster5;assigned;Antispila metallella;Exact;213890;Antispila metallella;(Denis & Schiffermüller, 1775);"Tinea metallella Denis & Schiffermüller, 1775; Tinea pfeifferella Hübner, 1813; vildkornellmal; kornellmal";Bofast och reproducerande
Noctuidae_cluster36;assigned;Antitype chi;Exact;216077;Antitype chi;(Linnaeus, 1758);vitgrått klippfly;Bofast och reproducerande
